Campaign name,Ad Set Name,Day,Results,Amount spent,Cost per result
B - Hypopressiv Trening - BOF - Leads - NO,B - Hypopressiv Trening - BOF - Leads - NO,All,315,"kr41,431.94",kr131.53
B - Hypopressiv Trening - BOF - Leads - NO,B - Hypopressiv Trening - BOF - Leads - NO,All,315,"kr41,431.94",kr131.53
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - Website Visitors + Re-Engagement - NO W25-65+,All,226,"kr26,165.36",kr115.78
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - Website Visitors + Re-Engagement - NO W25-65+,2025-02-04,23,"kr2,921.00",kr127.00
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - Website Visitors + Re-Engagement - NO W25-65+,2025-02-03,65,"kr7,451.20",kr114.63
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - Website Visitors + Re-Engagement - NO W25-65+,2025-02-02,65,"kr7,243.53",kr111.44
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - Website Visitors + Re-Engagement - NO W25-65+,2025-02-01,73,"kr8,549.63",kr117.12
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - NO - W25-65+ - T2 Pain,All,52,"kr8,428.91",kr162.09
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - NO - W25-65+ - T2 Pain,2025-02-04,4,kr930.01,kr232.50
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - NO - W25-65+ - T2 Pain,2025-02-03,22,"kr2,574.09",kr117.00
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - NO - W25-65+ - T2 Pain,2025-02-02,15,"kr2,513.26",kr167.55
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - NO - W25-65+ - T2 Pain,2025-02-01,11,"kr2,411.55",kr219.23
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - NO - W25-65+ - T1 Statistik/Logistik,All,23,"kr3,470.49",kr150.89
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - NO - W25-65+ - T1 Statistik/Logistik,2025-02-04,4,kr400.10,kr100.03
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - NO - W25-65+ - T1 Statistik/Logistik,2025-02-03,8,"kr1,055.09",kr131.89
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - NO - W25-65+ - T1 Statistik/Logistik,2025-02-02,6,"kr1,010.38",kr168.40
B - Hypopressiv Trening - BOF - Leads - NO,BOF - Leads (Lead) - NO - W25-65+ - T1 Statistik/Logistik,2025-02-01,5,"kr1,004.92",kr200.98
